Command,Definition
"AD","Analyze Documentation"
"AL","Analyze Log"
"AQ","Ask Questions / Any Questions"
"ARCHIVE","Archive Item"
"ASSIGN","Assign to Project"
"BK","Backup"
"BLOCK","Stop/Reject"
"BUILD","implement"
"Build Frames","apply PSD to frame.html"
"CLEAN","Clean/Optimize"
"CLOSE","Mark Complete"
"CMD","command (show/list/define commands)"
"CONFIRM","Approve and Continue"
"CS","Copilot Suggestions"
"DO","Do it / Implement now"
"Document cmd","go through conversations and add all short cmds to instruction document"
"EX","Execute / Implement"
"EX","Execute (implement the proposal)"
"EXPORT","Export Data"
"FIX","Quick fix / Implement immediately"
"Frame","layout configuration"
"Frame Layout","layout configuration"
"Header","top section"
"HL","horizontal (width %)"
"IMPORT","Import Data"
"Integration","no changes unless requested"
"LA","Log All"
"MENTION","Provide additional context information"
"MERGE","Merge Tasks"
"MS","My Suggestions"
"NO CHANGES","analyze only, don't modify"
"OK","Approve/implement the proposed changes"
"PA","Please Analyse"
"PA then Build","full workflow (analyze, then implement if approved)"
"PA?","Please Analyse and provide options"
"PE","Please Execute / Proceed Execute"
"PP","Please Propose (give recommendations/options)"
"PRIORITY","Set Priority"
"PROJECT","Time Kanban Application"
"PSC","Propose Status Change"
"PSD","Piano Screen Data / show current Piano Screen Data"
"PUBLISH","Commit and push to GitHub"
"PWF","Propose Way Forward"
"QS","Quick Status"
"R1","Input Validation panel"
"R2A","Batch Input panel"
"R2B","Analysis Piano panel"
"R3","Piano Groups display"
"RB","Rollback"
"REMEMBER","Keep in mind"
"RETEST","Test Again"
"REVISE","Modify Approach"
"RSC","Request Status Change"
"SB","scrollbar (horizontal/vertical)"
"SEARCH","Search Content"
"SPLIT","Split Task"
"SYNC","Synchronize"
"TB","Test Build"
"TEST","Test functionality"
"UD","Update Documentation"
"UKB","Update Kanban Backlog"
"UNDO","Revert last change"
"VL","vertical (height %)"
"WHY","Explain reasoning"
"YOU","Acknowledge message received"
